year,taxa,king,,type,depth,blk,Shannon
2020,asv,bac,17,grape,66,C,4.498962
2020,asv,bac,18,soil,66,C,4.440339
2020,asv,bac,19,grape,0,D,4.350124
2020,asv,bac,20,soil,0,D,4.165394
2020,asv,bac,21,grape,33,D,4.631848
2020,asv,bac,22,soil,33,D,4.153711
2020,asv,bac,23,grape,66,D,4.913714
2020,asv,bac,24,soil,66,D,4.463099
2020,asv,fung,25,grape,0,A,3.833368
2020,asv,fung,26,soil,0,A,4.375877
2020,asv,fung,27,grape,33,A,3.141932
2020,asv,fung,28,soil,33,A,4.046044
2020,asv,fung,29,grape,66,A,3.389172
2020,asv,fung,30,soil,66,A,4.062582
2020,asv,fung,31,grape,0,B,3.776855
2020,asv,fung,32,soil,0,B,3.918984
2020,asv,fung,33,grape,33,B,3.829785
2020,asv,fung,34,soil,33,B,4.059505
2020,asv,fung,35,grape,66,B,3.631251
2020,asv,fung,36,soil,66,B,3.98415
2020,asv,fung,37,grape,0,C,4.241787
2020,asv,fung,38,soil,0,C,4.337883
2020,asv,fung,39,grape,33,C,3.872074
2020,asv,fung,40,soil,33,C,3.523233
2020,asv,fung,41,grape,66,C,3.885208
2020,asv,fung,42,soil,66,C,3.879185
2020,asv,fung,43,grape,0,D,3.87211
2020,asv,fung,44,soil,0,D,4.045058
2020,asv,fung,45,grape,33,D,3.610569
2020,asv,fung,46,soil,33,D,3.81321
2020,asv,fung,47,grape,66,D,4.142712
2020,asv,fung,48,soil,66,D,3.983732
2020,gen,bac,1,grape,0,A,3.019181
2020,gen,bac,2,soil,0,A,2.550769
2020,gen,bac,3,grape,33,A,2.791269
2020,gen,bac,4,soil,33,A,2.480387
2020,gen,bac,5,grape,66,A,3.089214
2020,gen,bac,6,soil,66,A,2.47135
2020,gen,bac,7,grape,0,B,2.900479
2020,gen,bac,8,soil,0,B,2.478634
2020,gen,bac,9,grape,33,B,3.012645
2020,gen,bac,10,soil,33,B,2.494395
2020,gen,bac,11,grape,66,B,3.061853
2020,gen,bac,12,soil,66,B,2.407593
2020,gen,bac,13,grape,0,C,3.124996
2020,gen,bac,14,soil,0,C,2.436108
2020,gen,bac,15,grape,33,C,3.001303
2020,gen,bac,16,soil,33,C,2.320365
2020,gen,bac,17,grape,66,C,2.889976
2020,gen,bac,18,soil,66,C,2.617963
2020,gen,bac,19,grape,0,D,3.062812
2020,gen,bac,20,soil,0,D,2.664643
2020,gen,bac,21,grape,33,D,3.073629
2020,gen,bac,22,soil,33,D,2.568213
2020,gen,bac,23,grape,66,D,3.1303
2020,gen,bac,24,soil,66,D,2.47323
2020,gen,fung,25,grape,0,A,3.065831
2020,gen,fung,26,soil,0,A,3.087462
2020,gen,fung,27,grape,33,A,3.113115
2020,gen,fung,28,soil,33,A,2.890426
2020,gen,fung,29,grape,66,A,3.244852
2020,gen,fung,30,soil,66,A,2.882727
2020,gen,fung,31,grape,0,B,3.075814
2020,gen,fung,32,soil,0,B,2.678885
2020,gen,fung,33,grape,33,B,3.11866
2020,gen,fung,34,soil,33,B,2.748501
2020,gen,fung,35,grape,66,B,2.865274
2020,gen,fung,36,soil,66,B,2.699314
2020,gen,fung,37,grape,0,C,3.425965
2020,gen,fung,38,soil,0,C,2.980292
2020,gen,fung,39,grape,33,C,2.989916
2020,gen,fung,40,soil,33,C,2.520694
2020,gen,fung,41,grape,66,C,3.0503
2020,gen,fung,42,soil,66,C,2.700552
2020,gen,fung,43,grape,0,D,3.16615
2020,gen,fung,44,soil,0,D,2.890296
2020,gen,fung,45,grape,33,D,2.981363
2020,gen,fung,46,soil,33,D,2.690903
2020,gen,fung,47,grape,66,D,3.055963
2020,gen,fung,48,soil,66,D,2.725932
2020,phy,bac,1,grape,0,A,1.7639848
2020,phy,bac,2,soil,0,A,2.1235089
2020,phy,bac,3,grape,33,A,1.7798259
2020,phy,bac,4,soil,33,A,2.0677411
2020,phy,bac,5,grape,66,A,1.7817916
2020,phy,bac,6,soil,66,A,2.1417221
2020,phy,bac,7,grape,0,B,1.927485
2020,phy,bac,8,soil,0,B,1.9505706
2020,phy,bac,9,grape,33,B,1.885623
2020,phy,bac,10,soil,33,B,2.0453549
2020,phy,bac,11,grape,66,B,1.7636963
2020,phy,bac,12,soil,66,B,1.9826549
2020,phy,bac,13,grape,0,C,1.7407059
2020,phy,bac,14,soil,0,C,2.0669626
2020,phy,bac,15,grape,33,C,1.7149854
2020,phy,bac,16,soil,33,C,2.032772
2020,phy,bac,17,grape,66,C,1.8632346
2020,phy,bac,18,soil,66,C,1.9636288
2020,phy,bac,19,grape,0,D,1.7789889
2020,phy,bac,20,soil,0,D,1.8943372
2020,phy,bac,21,grape,33,D,1.7876737
2020,phy,bac,22,soil,33,D,1.9970335
2020,phy,bac,23,grape,66,D,1.7102719
2020,phy,bac,24,soil,66,D,2.0727469
2020,phy,fung,25,grape,0,A,0.8581364
2020,phy,fung,26,soil,0,A,1.206022
2020,phy,fung,27,grape,33,A,0.8426743
2020,phy,fung,28,soil,33,A,1.0792972
2020,phy,fung,29,grape,66,A,0.7929523
2020,phy,fung,30,soil,66,A,1.0668477
2020,phy,fung,31,grape,0,B,0.8787273
2020,phy,fung,32,soil,0,B,1.0277031
2020,phy,fung,33,grape,33,B,0.9098023
2020,phy,fung,34,soil,33,B,1.0060622
2020,phy,fung,35,grape,66,B,0.913111
2020,phy,fung,36,soil,66,B,1.0541475
2020,phy,fung,37,grape,0,C,0.9583214
2020,phy,fung,38,soil,0,C,1.1767203
2020,phy,fung,39,grape,33,C,0.8903481
2020,phy,fung,40,soil,33,C,0.908527
2020,phy,fung,41,grape,66,C,0.8537986
2020,phy,fung,42,soil,66,C,0.9911542
2020,phy,fung,43,grape,0,D,0.8952562
2020,phy,fung,44,soil,0,D,1.17018
2020,phy,fung,45,grape,33,D,0.8052195
2020,phy,fung,46,soil,33,D,1.0630974
2020,phy,fung,47,grape,66,D,0.8362436
2020,phy,fung,48,soil,66,D,1.0094962
