"","year","Row","Column","type","blk","gc","rs","depth","mass","Nitrospinota","WS2","Deinococcota","GAL15","SAR324 clade(Marine group B)","Abditibacteriota","Sumerlaeota","NB1-j","Campylobacterota","Entotheonellaeota","RCP2-54","FCPU426","Dependentiae","Bdellovibrionota","WPS-2","Desulfobacterota","Patescibacteria","Methylomirabilota","Armatimonadota","Spirochaetota","Latescibacterota","Fibrobacterota","Elusimicrobiota","Planctomycetota","Gemmatimonadota","MBNT15","Hydrogenedentes","Cyanobacteria","unclassified","Nitrospirota","Myxococcota","Bacteroidota","Acidobacteriota","Firmicutes","Actinobacteriota","Verrucomicrobiota","Chloroflexi","Proteobacteria"
"Sa40",2019,"D",4,"fescue","A","GC","MV","33","591",0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,2,0,16,0,5,22,5,79,35,6,0,2,30,8,463,1706,150,95,1053,714,151,3982
"Sa41",2019,"D",5,"fescue","B","GC","LV","0","1579",0,0,0,0,0,0,0,4,0,0,0,0,13,23,0,3,2,3,17,7,19,0,9,38,5,0,2,5,29,24,67,861,443,263,707,648,206,1582
"Sa42",2019,"D",6,"fescue","B","GC","LV","33","340",0,0,0,0,0,2,0,0,0,0,0,0,21,33,0,0,3,0,21,0,13,0,4,44,5,0,0,0,84,4,283,442,229,305,352,52,131,1935
"Sa43",2019,"D",7,"fescue","B","GC","MV","0","536",0,0,0,0,6,0,0,0,0,0,0,0,3,27,0,9,0,0,0,0,2,30,0,31,0,0,0,0,41,12,140,668,327,4,523,393,52,1626
"Sa44",2019,"D",8,"fescue","B","GC","MV","33","649",0,0,0,0,0,0,2,0,0,0,0,0,8,4,0,16,0,0,29,3,0,24,0,68,16,0,0,2,26,38,230,703,195,8,288,305,128,1405
"Sa45",2019,"D",9,"fescue","C","GC","MV","0","904",0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,9,7,0,0,10,10,40,13,0,0,3,40,35,307,620,328,6,756,454,78,2484
"Sa46",2019,"D",10,"fescue","C","GC","MV","33","174",0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,54,9,0,0,13,11,0,0,0,0,15,0,52,39,203,5,262,137,72,1783
"Sa47",2019,"D",11,"fescue","C","GC","LV","0","617",0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,3,7,0,0,0,17,0,20,3,0,0,7,31,13,260,207,158,3,236,206,3,919
"Sa48",2019,"D",12,"fescue","C","GC","LV","33","576",0,0,0,0,0,0,0,0,0,0,3,10,3,16,0,0,7,0,49,39,0,123,0,42,37,0,0,0,38,38,422,1489,371,1033,818,578,159,4068
"Sa49",2019,"E",1,"grape","A","noGC","LV","0","73.3",0,0,0,0,0,0,0,2,0,8,0,0,38,8,0,6,0,0,15,5,7,0,2,63,12,0,0,0,19,3,140,1112,78,164,503,356,79,6328
