"","year","type","blk","gc","rs","depth","mass","newroot","WS2","WS1","Halanaerobiaeota","Hydrogenedentes","Deinococcota","Abditibacteriota","Sumerlaeota","FCPU426","Spirochaetota","NB1-j","Elusimicrobiota","Fibrobacterota","SAR324 clade(Marine group B)","Patescibacteria","Entotheonellaeota","Bdellovibrionota","WPS-2","Cyanobacteria","unclassified","Latescibacterota","Armatimonadota","MBNT15","RCP2-54","Dependentiae","GAL15","Methylomirabilota","Desulfobacterota","Planctomycetota","Nitrospirota","Gemmatimonadota","Myxococcota","Acidobacteriota","Bacteroidota","Chloroflexi","Firmicutes","Actinobacteriota","Verrucomicrobiota","Proteobacteria"
"SF77",2020,"grape","C","GC","MV",33,0.174,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,64,0,0,47,20,7,0,0,36,0,48,24,206,0,74,365,480,467,213,402,1512,632,3401
"SF78",2020,"grape","C","GC","MV",66,0.22,1.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,6,0,0,0,49,0,0,198,0,237,33,1079,3,730,823,1207,1103,2108
"SF79",2020,"grape","C","noGC","LV",0,0.7355,36.5,0,0,0,0,0,0,0,0,0,0,4,0,0,32,0,37,19,0,5,0,28,0,0,93,0,0,5,75,82,132,361,1134,638,401,522,1045,799,4970
"SF80",2020,"grape","C","noGC","LV",33,0.5445,8.5,0,0,0,0,0,0,0,0,11,0,3,0,0,17,0,13,0,0,5,0,0,0,0,30,0,0,2,178,62,58,223,701,1314,171,382,979,666,5145
"SF81",2020,"grape","C","noGC","LV",66,0.2405,2,0,0,0,0,0,0,0,0,0,24,0,0,0,11,16,21,0,0,0,0,0,0,0,11,0,0,41,103,29,115,134,396,579,573,256,964,1069,3599
"SF82",2020,"grape","C","GC","LV",0,0.255,0,0,0,0,0,0,0,0,0,14,0,0,0,0,25,0,59,11,26,13,0,79,0,0,20,0,0,0,394,63,182,270,937,430,358,171,1136,242,5401
"SF83",2020,"grape","C","GC","LV",33,0.2605,0.5,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,6,0,5,24,0,42,0,0,130,0,0,0,461,29,67,150,1686,2148,386,174,1252,1191,9569
"SF84",2020,"grape","C","GC","LV",66,0.2185,17,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,29,0,0,9,68,0,0,0,0,0,13,11,31,0,67,105,209,795,424,329,1545,1171,3429
"SF85",2020,"grape","D","GC","LV",0,0.3505,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,54,0,46,0,0,109,0,0,12,152,0,164,236,328,1085,369,470,1251,954,4166
"SF86",2020,"grape","D","GC","LV",33,0.8835,29,0,0,0,3,0,0,0,0,20,0,0,3,31,5,0,30,0,47,20,0,13,0,0,0,0,47,0,54,0,329,81,718,501,334,403,1355,905,6069
